ticker,acc,source
YUM,0001041061-25-000008,pilot
MAR,0001628280-25-004772,pilot
HPQ,0000047217-25-000023,pilot
PLD,0000950170-25-054485,pilot
WRB,0000011544-25-000007,pilot
MSCI,0001408198-25-000109,pilot
FE,0001031296-25-000014,pilot
NDAQ,0001193125-25-092227,pilot
ALB,0000915913-25-000081,pilot
ED,0001047862-25-000044,pilot
DECK,0000910521-25-000028,pilot
VRSN,0001014473-25-000034,pilot
JCI,0000833444-25-000055,pilot
MDT,0001613103-25-000141,pilot
KMX,0001170010-25-000115,pilot
NTRS,0000073124-25-000244,pilot
AJG,0001193125-25-258781,pilot
LIN,0001654954-25-012384,pilot
ZTS,0001555280-25-000272,pilot
SRE,0001032208-25-000062,pilot
ES,0001104659-20-088398,precutoff_probe
HD,0000354950-20-000094,precutoff_probe
KEY,0000091576-21-000009,precutoff_probe
SHW,0001193125-21-019921,precutoff_probe
ALB,0000915913-21-000015,precutoff_probe
AXP,0000004962-21-000026,precutoff_probe
PFE,0000078003-21-000104,precutoff_probe
REG,0001564590-21-054727,precutoff_probe
CNC,0001071739-22-000047,precutoff_probe
SRE,0001032208-22-000004,precutoff_probe
PYPL,0001633917-22-000086,precutoff_probe
WELL,0000766704-22-000030,precutoff_probe
RF,0001281761-22-000040,precutoff_probe
KMB,0000055785-23-000005,precutoff_probe
BKR,0001701605-23-000047,precutoff_probe
AEE,0001002910-23-000089,precutoff_probe
FTV,0001659166-23-000230,precutoff_probe
AES,0000874761-23-000082,precutoff_probe
TTWO,0001628280-24-003879,precutoff_probe
CTVA,0001755672-24-000006,precutoff_probe
ADBE,0000796343-26-000147,pipeline_test
